Request,Sample,Batch,Parameter List,Parameter,Data
R-20210511-00058,S-210511-00766,,Lumisizer - VM,Lumisizer Separation Location,Middle/Bottom
R-20210511-00058,S-210511-00766,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210511-00058,S-210511-00766,,Lumisizer - VM,Lumisizer Separation Severity,23.30
R-20210511-00058,S-210511-00766,,Lumisizer - VM,Lumisizer Onset of Major Separation,85
R-20210511-00069,S-210511-01048,,Lumisizer - VM,Lumisizer Separation,Y
R-20210511-00069,S-210511-01048,,Lumisizer - VM,Lumisizer Separation Severity,1.50
R-20210511-00069,S-210511-01048,,Lumisizer - VM,Lumisizer Onset of Major Separation,90
R-20210511-00069,S-210511-01048,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210511-00069,S-210511-01048,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210514-00050,S-210514-00518,,Lumisizer - VM,Lumisizer Onset of Major Separation,235
R-20210514-00050,S-210514-00518,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210514-00050,S-210514-00518,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210514-00050,S-210514-00518,,Lumisizer - VM,Lumisizer Separation Severity,1.27
R-20210514-00050,S-210514-00518,,Lumisizer - VM,Lumisizer Separation,Y
R-20210514-00054,S-210514-00618,,Lumisizer - VM,Lumisizer Separation,Y
R-20210514-00054,S-210514-00618,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210514-00054,S-210514-00618,,Lumisizer - VM,Lumisizer Onset of Major Separation,20
R-20210514-00054,S-210514-00618,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210514-00054,S-210514-00618,,Lumisizer - VM,Lumisizer Separation Severity,43.10
R-20210514-00055,S-210514-00664,,Lumisizer - VM,Lumisizer Onset of Major Separation,20
R-20210514-00055,S-210514-00664,,Lumisizer - VM,Lumisizer Separated Layers,3
R-20210514-00055,S-210514-00664,,Lumisizer - VM,Lumisizer Separation,Y
R-20210514-00055,S-210514-00664,,Lumisizer - VM,Lumisizer Separation Location,Top/Bottom
R-20210514-00055,S-210514-00664,,Lumisizer - VM,Lumisizer Separation Severity,54.10
R-20210514-00056,S-210514-00688,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210514-00056,S-210514-00688,,Lumisizer - VM,Lumisizer Separation,Y
R-20210514-00056,S-210514-00688,,Lumisizer - VM,Lumisizer Onset of Major Separation,75
R-20210514-00056,S-210514-00688,,Lumisizer - VM,Lumisizer Separation Severity,0.90
R-20210514-00056,S-210514-00688,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210514-00057,S-210514-00712,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210514-00057,S-210514-00712,,Lumisizer - VM,Lumisizer Onset of Major Separation,140
R-20210514-00057,S-210514-00712,,Lumisizer - VM,Lumisizer Separation Severity,1.10
R-20210514-00057,S-210514-00712,,Lumisizer - VM,Lumisizer Separation,Y
R-20210514-00057,S-210514-00712,,Lumisizer - VM,Lumisizer Separation Location,Top
R-20210519-00007,S-210519-00953,,Lumisizer - VM,Lumisizer Separated Layers,2
R-20210519-00007,S-210519-00953,,Lumisizer - VM,Lumisizer Separation,Y
R-20210519-00007,S-210519-00953,,Lumisizer - VM,Lumisizer Onset of Major Separation,85
R-20210519-00007,S-210519-00953,,Lumisizer - VM,Lumisizer Separation Location,Top
